ID,Title,Year,Approach,ROI Selection,Neuronal Networks,Algorithms,Evaluation Results,Datasets,Frequency Extraction,Implemented,Loss Function,BibTxt,optimizer,learning rate,GitHub
Liu2021multitask,Multi-Task Temporal Shift Attention Networks for On-Device Contactless Vitals Measurement,2021,"Motion, rPPG",None,Yes,"1. Temporal Shift Modules (TSM) for efficient temporal modeling
2. Convolutional Attention Networks (CAN) for spatial-temporal feature extraction
3. Multi-task learning to jointly estimate pulse and respiration signals","Heart Rate Estimation:
- MTTS-CAN: MAE = 1.45, RMSE = 3.72, ρ = 0.94, SNR = 8.64
- MT-Hybrid-CAN: MAE = 1.15, RMSE = 2.69, ρ = 0.97, SNR = 10.2
- TS-CAN: MAE = 1.32, RMSE = 3.25, ρ = 0.95, SNR = 8.86

Respiration Rate Estimation: 
- MTTS-CAN: MAE = 2.30, RMSE = 4.52, ρ = 0.40, SNR = 18.7
- MT-Hybrid-CAN: MAE = 2.17, RMSE = 4.24, ρ = 0.45, SNR = 19.1
- TS-CAN: MAE = 2.25, RMSE =","AFRL, MMSE-HR",???,Yes,Costum,"@misc{Liu2021multitask,
title={Multi-Task Temporal Shift Attention Networks for On-Device Contactless Vitals Measurement},
author={Xin Liu and Josh Fromm and Shwetak Patel and Daniel McDuff},
year={2021},
eprint={2006.03790},
archivePrefix={arXiv},
primaryClass={eess.SP}
}",Adadelta,,https://github.com/xliucs/MTTS-CAN
Pourbemany_Essa_2021,Real Time Video based Heart and Respiration Rate Monitoring,2021,rPPG,Automatic,No,"1. Face and facial landmark detection using Dlib library
2. Forehead detection based on face and eye/eyebrow landmarks
3. Average Hue calculation for forehead region pixels with Hue values between 0 and 0.1
4. Spectrum analysis of the average Hue signal using band-pass filters to extract heart rate and respiration rate","1. Root Mean Square Error (RMSE) for Heart Rate:
   - Hue approach: 2.9558
   - Green channel: 3.0262

2. RMSE for Respiration Rate: 
   - Hue approach: 1.7014
   - Green channel: 2.5026

3. Pearson Correlation Coefficient was not explicitly reported, but the results indicate the proposed Hue-based approach provided better accuracy compared to the Green channel method.",Unavailable,FFT,,,"@misc{Pourbemany_Essa_2021,
title={Real Time Video based Heart and Respiration Rate Monitoring},
author={Jafar Pourbemany and Almabrok Essa and Ye Zhu},
year={2021},
eprint={2106.02669},
archivePrefix={arXiv},
primaryClass={eess.IV}
}",,,
Hwang2021NonContactRM,Non-Contact Respiration Measurement Method Based on RGB Camera Using 1D Convolutional Neural Networks,2021,Motion,Automatic,Yes,"1. 1D Convolutional Neural Network (1D CNN) for ROI detection
2. Pearson correlation coefficient for labeling
3. Cosine distance-based hierarchical clustering for respiration estimation
4. Bland-Altman analysis and regression analysis for performance evaluation","1. Mean Absolute Error (MAE) of breathing rate (bpm): 0.089 ± 0.33 bpm
2. Pearson Correlation Coefficient between estimated and reference breathing signals: 0.926
3. Coefficient of Determination (R^2) between estimated and reference breathing rates: 0.9986

The paper also reports the Mean of Differences (MOD) as -0.0011 bpm and Limits of Agreement (LOA) as ±0.6678 bpm from the Bland-Altman analysis. The Mean Absolute Error (MAE) of the peak-to-peak interval was 91 ms.",Unavailable,PC,,Cross-Entropy Loss,"@article{Hwang2021NonContactRM,
title={Non-Contact Respiration Measurement Method Based on RGB Camera Using 1D Convolutional Neural Networks},
author={Hyeonsang Hwang and Eui Chul Lee},
journal={Sensors (Basel, Switzerland)},
year={2021},
volume={21},
url={https://api.semanticscholar.org/CorpusID:235229132}
}",,,
Lucy_Suha_2021,Video based non-contact monitoring of respiratory rate and chest indrawing in children with pneumonia,2021,Motion,Manual,No,"1. Butterworth bandpass filtering to minimize noise in the respiratory signals.
2. Fast Fourier Transform to calculate the respiratory rate from the filtered respiratory signals.
3. Phase difference analysis between respiratory signals from different regions of interest to detect chest indrawing.","1. Mean Absolute Error (MAE) for respiratory rate measurement:
   - Overall MAE for healthy subjects: 1.48 bpm
   - Overall MAE for pneumonia subjects: 2.12 bpm

2. Root Mean Absolute Error (RMAE) was not reported.

3. Root Mean Squared Error (RMSE) was not reported. 

4. Mean Squared Error (MSE) was not reported.

5. Pearson Correlation Coefficient was not reported. The paper focused on the phase difference between respiratory signals from different regions of interest to detect chest indrawing.",Unavailable,FFT,,,"@article{Lucy_Suha_2021,
title={Video based non-contact monitoring of respiratory rate and chest indrawing in children with pneumonia},
author={Lucy, Ferdous Karim and Suha, Khadiza Tun and Dipty, Sumaiya Tabassum and Wadud, Md Sharjis Ibne and Kadir, Muhammad Abdul},
journal={Physiological Measurement},
volume={42},
number={10},
pages={105017},
year={2021},
publisher={IOP Publishing}
}",,,
Romano2021non,Non-contact respiratory monitoring using an RGB camera for real-world applications,2021,Motion,Automatic,No,"1. Optical Flow (FO) method
2. Pixel Intensity Changes method
   - 5% method
   - PCA method
3. Viola-Jones object detection algorithm for automatic ROI selection
4. Threshold-based method for motion artifact removal
5. Standard deviation-based method for apnea detection","1. Bias (Mean of Differences, MOD) and Limits of Agreement (LOA) from Bland-Altman analysis:
   - Optical Flow (FO) method:
     - 2-Sit trial: MOD = -0.03 ± 1.38 bpm
     - Worst case: MOD = -0.16 ± 1.92 bpm
   - 5% method and PCA method had higher bias and wider LOA.

2. Percentage of respiratory rate values within ±1 bpm of the reference:
   - Optical Flow (FO) method:
     - 2-Sit trial: 95% of values within ±1 bpm
   - 5% method and PCA method had lower percentages.

The article does not report the MAE, RMAE, RMSE, MSE or Pearson Correlation Coefficient explicitly. The focus is on the Bland-Altman analysis and the percentage of values within a certain error",Unavailable,PC,,,"@article{Romano2021non,
title={Non-contact respiratory monitoring using an RGB camera for real-world applications},
author={Romano, Chiara and Schena, Emiliano and Silvestri, Sergio and Massaroni, Carlo},
journal={Sensors},
volume={21},
number={15},
pages={5126},
year={2021},
publisher={MDPI}
}",,,
Fiedler_Rapczynski_2020,Fusion-based approach for respiratory rate recognition from facial video images,2020,rPPG,"Automatic, Manual",No,"1. Poh et al. [14]
2. Sun [15]
3. Van Gastel et al. [29]
4. Sanyal and Nundy [20]
5. FuseMod (the proposed algorithm)",,BP4D+,FFT,,,"@article{Fiedler_Rapczynski_2020,
title={Fusion-based approach for respiratory rate recognition from facial video images},
author={Fiedler, Marc-Andr{\'e} and Rapczy{\'n}ski, Micha and Al-Hamadi, Ayoub},
journal={IEEE Access},
volume={8},
pages={130036--130047},
year={2020},
publisher={IEEE}
}",,,
Luguern2020remote,Remote photoplethysmography combining color channels with SNR maximization for respiratory rate assessment,2020,rPPG,Automatic,No,"1. CHROM
2. EVM (Energy Variance Maximization)
3. PBV (Periodic Breathing Variation)
4. PVM (Periodic Variance Maximization)","- MAE (Mean Absolute Error): 
EVM = 2.72 rpm
CHROM = 3.59 rpm
PBV = 3.63 rpm
PVM = 3.87 rpm

- RMSE (Root Mean Square Error):
EVM = 3.78 rpm  
CHROM = 5.01 rpm
PBV = 5.00 rpm
PVM = 5.43 rpm

- Pearson Correlation Coefficient (r):
EVM = 0.64
CHROM = 0.45
PBV = 0.46 
PVM = 0.37",Unavailable,PC,,,"@INPROCEEDINGS{Luguern2020remote,
author={Luguern, Duncan and Benezeth, Yannick and Moser, Virginie and Dunbar, L. Andrea and Braun, Fabian and Lemkaddem, Alia and Nakamura, Keisuke and Gomez, Randy and Dubois, Julien},
booktitle={2020 14th International Symposium on Medical Information Communication Technology (ISMICT)},
title={Remote photoplethysmography combining color channels with SNR maximization for respiratory rate assessment},
year={2020},
volume={},
number={},
pages={1-6},
keywords={Covariance matrices;Signal to noise ratio;Pipelines;Eigenvalues and eigenfunctions;Physiology;Biomedical monitoring;Microsoft Windows;rPPG;GEVD;respiratory rate;non-contact},
doi={10.1109/ISMICT48699.2020.9152720}
}",,,
Brieva2020NoncontactBR,Non-contact breathing rate monitoring system using a magnification technique and convolutional networks,2020,Motion,"Automatic, Manual",Yes,"1. Eulerian motion magnification using the Hermite transform
2. Convolutional Neural Network (CNN) for classifying inhalation and exhalation frames
3. Breathing rate estimation from the classified frames","1. CNN-ROI Approach:
   - Mean Average Error (MAE): 2.326 ± 1.144%
   - Pearson Correlation Coefficient: Not reported

2. CNN-Whole-Image Approach:
   - Mean Average Error (MAE): 2.115 ± 1.135% 
   - Pearson Correlation Coefficient: Not reported

The paper does not report the Root Mean Average Error (RMAE), Root Mean Squared Error (RMSE), or Mean Squared Error (MSE) for either of the proposed approaches.",Unavailable,PC,,Cross-Entropy Loss,"@inproceedings{Brieva2020NoncontactBR,
title={Non-contact breathing rate monitoring system using a magnification technique and convolutional networks},
author={Jorge Brieva and Hiram Ponce and Ernesto Moya-Albor},
booktitle={Symposium on Medical Information Processing and Analysis},
year={2020},
url={https://api.semanticscholar.org/CorpusID:211553738}
}",The stochastic gradient descent algorithm.,"The learning rate used in the training of the convolutional neural network (CNN) models in this paper is 1E-6 (or 0.000001).

Specifically, the paper mentions:

""For implementation purposes, we trained the CNN using the stochastic gradient descent algorithm with initial learning rate of 1E-6, regularization coefficient 1E-4, maximum number of epochs 200, and mini-batch size of 128.""

So the initial learning rate used in the optimization of the CNN weights and biases during the training process was set to 1E-6.",
Zhan_Hu_2020,Revisiting motion-based respiration measurement from videos,2020,Motion,None,Yes,"1. Pixel intensity variation-based methods:
   - Light intensity variation
   - Pixel intensity variation-based 2D/3D-CNN

2. Pixel movement-based methods:
   - Optical flow
   - Optical flow-based 2D/3D-CNN

3. Signal extraction methods:
   - Averaging
   - Zero-phase Component Analysis (ZCA)
   - 2D-CNN
   - 3D-CNN","- Root Mean Square Error (RMSE): The RMSE is used to measure the difference between the peak location of the measurement and reference.

- Accuracy: The percentage where the difference between the peak location of the measurement and reference is smaller than 6 frames (20 fps).

- The paper does not report Mean Absolute Error (MAE), Relative Mean Absolute Error (RMAE), or Mean Squared Error (MSE).

- The paper also does not report the Pearson Correlation Coefficient.

The main focus is on comparing the RMSE and Accuracy between the different video properties (pixel intensity variation vs. pixel movement) and the various signal extraction methods (Averaging, ZCA, 2D-CNN, 3D-CNN).",Unavailable,???,,MSE,"@INPROCEEDINGS{Zhan_Hu_2020,
author={Zhan, Qi and Hu, Jingjing and Yu, Zitong and Li, Xiaobai and Wang, Wenjin},
booktitle={2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)},
title={Revisiting motion-based respiration measurement from videos},
year={2020},
volume={},
number={},
pages={5909-5912},
keywords={Videos;Motion measurement;Cameras;Optical variables measurement;Benchmark testing;Lighting;Adaptive optics},
doi={10.1109/EMBC44109.2020.9175662}}
",,,
Wu2020ARO,A Region of Interest Selection for Vision-Based Respiratory Rate Measurement in Sleeping Scenario,2020,Motion,Automatic,No,"1. Maximal ratio combining (MRC)
2. Equal gain combining (EGC)
3. Temporal and spatial consistency (TSC)
4. Comb filters
5. Background subtraction
6. Spatial smoothing filter
7. Binarization
8. Morphological operations (opening)
9. Border-following algorithm","1. MAE (Mean Absolute Error): The median MAE of the proposed TSC method is lower than the top quartiles of other compared methods.

2. RMSE (Root Mean Square Error): TSC provides the lowest RMSE among all compared methods.

3. Success Rate 3 (Suc3): TSC has the highest Success Rate 3 compared to the other algorithms.

4. Pearson Correlation Coefficient: According to the scatter plots in Figure 14, the accuracy of the TSC method does not depend on the respiratory rate, indicating a high correlation between the estimated and reference respiratory rates.",COHFACE,FFT,,,"@article{Wu2020ARO,
title={A Region of Interest Selection for Vision-Based Respiratory Rate Measurement in Sleeping Scenario},
author={Bing-Fei Wu and Chun-Han Lin and Po-Wei Huang and Kuan-Hung Chen and Da-Hong He},
journal={IEEE Access},
year={2020},
volume={8},
pages={139274-139288},
url={https://api.semanticscholar.org/CorpusID:221086149}
}",,,
Brieva2020contactless,A contactless respiratory rate estimation method using a hermite magnification technique and convolutional neural networks,2020,Motion,Automatic,Yes,"1. Eulerian motion magnification using Hermite transform
2. Convolutional Neural Network (CNN) for frame classification
3. Respiratory rate estimation using tagged frames","1. Mean Absolute Error (MAE):
   - CNN-ROI approach: 1.83 ± 1.61%
   - CNN-Whole-Image approach: 3.28 ± 3.33%

2. Root Mean Squared Error (RMSE):
   - CNN-ROI approach: 0.41 bpm
   - CNN-Whole-Image approach: 0.85 bpm

3. Pearson Correlation Coefficient (PCC):
   - CNN-ROI approach: 0.99
   - CNN-Whole-Image approach: 0.977 (for the MCV strategy)

The paper does not report the Mean Squared Error (MSE) explicitly.",Unavailable,PC,,,"@article{Brieva2020contactless,
title={A contactless respiratory rate estimation method using a hermite magnification technique and convolutional neural networks},
author={Brieva, Jorge and Ponce, Hiram and Moya-Albor, Ernesto},
journal={Applied Sciences},
volume={10},
number={2},
pages={607},
year={2020},
publisher={MDPI}
}",Stochastic gradient descent,"So the initial learning rate used in the CNN training was 1E-6, which is 0.000001.",
Yu2019remote,Remote Photoplethysmograph Signal Measurement from Facial Videos Using Spatio-Temporal Networks,2019,rPPG,Automatic,Yes,"1. 3D Convolutional Neural Network (3DCNN)
2. Long Short-Term Memory (LSTM)
3. Bidirectional LSTM
4. Convolutional LSTM
5. Negative Pearson correlation loss function","HR Measurement:
- RMSE: 1.812 bpm
- R: 0.992

HRV Measurement:
- RF RMSE: 0.066 Hz
- RF R: 0.507
- LF RMSE: 0.148 n.u.
- LF R: 0.766 
- HF RMSE: 0.148 n.u.
- HF R: 0.766
- LF/HF RMSE: 0.631
- LF/HF R: 0.739","MAHNOB-HCI, OBF",???,,Negative Pearson correlation (NegPea),"@article{Yu2019remote,
title={Remote photoplethysmograph signal measurement from facial videos using spatio-temporal networks},
author={Yu, Zitong and Li, Xiaobai and Zhao, Guoying},
journal={arXiv preprint arXiv:1905.02419},
year={2019}
}",,"However, it states that the Adam optimizer is used and the learning rate is set as 1e-4 (0.0001).",
